Name,City,CuisineStyle,Ranking,Rating,NumberofReviews
Bussia,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",41,4.5,959
Ashoka Restaurant,Amsterdam,"['Indian', 'Nepali', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",42,4.5,718
The Seafood Bar,Amsterdam,"['Seafood', 'European', 'Soups', 'Gluten Free Options']",43,4.5,4709
Mossel en Gin,Amsterdam,"['Dutch', 'Seafood', 'International']",44,4.5,408
Frens Haringhandel,Amsterdam,"['Dutch', 'Delicatessen', 'Healthy', 'Street Food', 'Seafood']",45,4.5,431
Ivy & Bros,Amsterdam,"['Cafe', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",46,4.5,757
B&B Lunchroom Leidsestraat,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",47,4.5,403
Toastable Koningsplein,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",48,4.5,781
Nader Grill Steakhouse,Amsterdam,"['Steakhouse', 'Barbecue', 'European', 'Grill', 'Vegetarian Friendly']",49,4.5,187
Piadina Bar,Amsterdam,"['Italian', 'Bar', 'Cafe', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",50,4.5,508
Mook Pancakes,Amsterdam,"['Dutch', 'European']",51,4.5,681
Van Kerkwijk,Amsterdam,"['Dutch', 'European', 'Diner', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",52,4.5,1995
d&a hummus bistro,Amsterdam,"['Mediterranean', 'Healthy', 'Street Food', 'Lebanese', 'Middle Eastern', 'Israeli', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",53,4.5,414
De Kas,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",54,4.5,1573
Eetcafe Singel 404,Amsterdam,"['Dutch', 'Cafe', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",55,4.5,490
De Struisvogel,Amsterdam,"['French', 'Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",56,4.5,517
Restaurant Johannes,Amsterdam,"['French', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",57,4.5,1065
The Seafood Bar Ferdinand Bol,Amsterdam,"['Seafood', 'European', 'Gluten Free Options']",58,4.5,348
Guts & Glory,Amsterdam,"['International', 'European', 'Vegetarian Friendly']",59,4.5,555
Thai Phutakun,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",60,4.5,530
Bakers & Roasters,Amsterdam,"['New Zealand', 'Cafe', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",61,4.5,1091
FuLu Mandarijn Amsterdam,Amsterdam,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",62,4.5,1801
Pesca,Amsterdam,"['Dutch', 'Seafood', 'Mediterranean', 'Gluten Free Options']",63,4.5,756
De Reiger,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",64,4.5,530
The Pantry,Amsterdam,"['Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",65,4.5,2428
C,Amsterdam,"['International', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",66,4.5,289
The Lobby Nesplein Restaurant & Bar,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",67,4.5,838
Hap-Hmm,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly']",68,4.5,510
The Seafood Bar Spui,Amsterdam,"['Seafood', 'European', 'Gluten Free Options']",69,4.5,1209
La Zoccola del Pacioccone Pizzeria,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",70,4.5,1098
JUN Indonesian Cuisine,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options']",71,4.5,416
Sugo Amsterdam,Amsterdam,"['Pizza', 'Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",72,4.5,445
Burger Bar,Amsterdam,"['American', 'Bar', 'Fast Food']",73,4.5,748
Restaurant BREDA,Amsterdam,"['French', 'Dutch', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",74,4.5,331
Hemelse Modder,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",75,4.5,562
Prins Heerlijk,Amsterdam,"['Dutch', 'Cafe', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options']",76,4.5,425
Taj Indian,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",77,4.5,1415
Bistrot Neuf Amsterdam,Amsterdam,"['French', 'European', 'Vegetarian Friendly']",78,4.5,546
Vlaams Friteshuis Vleminckx,Amsterdam,"['Belgian', 'Dutch', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options']",79,4.5,1313
Bagels & Beans,Amsterdam,"['American', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",80,4.5,1294
Cafe Piazza,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",81,4.5,681
Restaurant RED,Amsterdam,"['Steakhouse', 'Seafood', 'European', 'International']",82,4.5,1113
De Belhamel,Amsterdam,"['French', 'Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",83,4.5,1170
Barbeque Castell,Amsterdam,"['Steakhouse', 'Barbecue', 'European', 'Gluten Free Options']",84,4.5,706
Seasons Restaurant,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",85,4.5,1470
Burger Bar,Amsterdam,"['American', 'Fast Food']",86,4.5,1379
Ava Cyril,Amsterdam,"['Steakhouse', 'Italian', 'Pizza', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options']",87,4.5,377
Restaurant Lt. Cornelis,Amsterdam,"['Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",88,4.5,374
Restaurant Tomaz,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",89,4.5,909
Koh-i-Noor,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",90,4.5,1654
Cannibale Royale,Amsterdam,"['American', 'Steakhouse', 'Bar', 'Barbecue', 'European', 'Grill', 'Gluten Free Options']",91,4.5,888
Cafe de Klos,Amsterdam,"['American', 'Steakhouse', 'Dutch', 'Bar', 'Barbecue', 'European']",92,4.5,1833
Van Speyk,Amsterdam,"['French', 'Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",93,4.5,1129
Foodhallen,Amsterdam,"['Asian', 'Italian', 'French', 'American', 'Indian', 'Dutch', 'Bar', 'Seafood', 'Fast Food', 'Mediterranean', 'Sushi', 'European', 'Spanish', 'Korean', 'Turkish', 'Grill', 'Vietnamese', 'Street Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",94,4.5,1480
stout,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",95,4.5,508
Venus & Adonis,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Grill', 'Steakhouse', 'Vegetarian Friendly', 'Gluten Free Options']",96,4.5,496
Vegan Junk Food Bar,Amsterdam,"['American', 'Bar', 'Fast Food', 'European', 'Pub', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",97,4.5,94
Norling Restaurant Amsterdam,Amsterdam,"['Tibetan', 'Nepali', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",98,4.5,637
Pasta e Basta,Amsterdam,"['Italian', 'International', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",99,4.5,867
Looks Restaurant,Amsterdam,"['Dutch', 'French', 'Seafood', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",100,4.5,563
Molly Malone's Irish Pub,Amsterdam,"['Irish', 'Bar', 'European', 'British', 'Pub', 'International', 'Vegetarian Friendly']",101,4.5,696
Stoop & Stoop Eetcafe,Amsterdam,"['Dutch', 'Bar', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",102,4.5,475
Rijks,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",103,4.5,1088
Kartika,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options']",104,4.5,1056
The Lobby Fizeaustraat,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",105,4.5,174
Dignita Vondelpark,Amsterdam,"['Dutch', 'Cafe', 'International', 'European', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",106,4.5,160
Geflipt Burgers - De Pijp,Amsterdam,"['Bar', 'European', 'American', 'Vegetarian Friendly']",107,4.5,409
Ristorante Italia Oggi,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",108,4.5,761
Bakers & Roasters,Amsterdam,"['New Zealand', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",109,4.5,181
Jansz.,Amsterdam,"['French', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",110,4.5,410
Wurst & Schnitzelhaus Prinsengracht,Amsterdam,"['Pub', 'German', 'Bar', 'European', 'Gluten Free Options']",111,4.5,302
La Perla,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",112,4.5,690
De Biertuin,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",113,4.5,318
Locanda,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",114,5,93
Dwaze Zaken,Amsterdam,"['French', 'Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",115,4.5,388
Restaurant Black and Blue,Amsterdam,"['Steakhouse', 'European', 'International', 'Gluten Free Options', 'Vegetarian Friendly']",116,4.5,1044
IL Pacioccone,Amsterdam,"['Mediterranean', 'Italian', 'European', 'Vegetarian Friendly']",117,4.5,1307
Visaandeschelde,Amsterdam,"['Dutch', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",118,4.5,522
Toro Dorado / Quality Steaks,Amsterdam,"['Steakhouse', 'International', 'Grill']",119,4.5,1160
Restaurant Olijfje,Amsterdam,"['Mediterranean', 'European', 'Spanish', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",120,4.5,335
Ristorante Savini,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",121,4.5,664
Calf & Bloom,Amsterdam,"['Bar', 'Cafe', 'European', 'Dutch', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",122,4.5,289
Gollem's Proeflokaal,Amsterdam,"['Belgian', 'Dutch', 'Bar', 'European', 'Pub']",123,4.5,318
Pianeta Terra,Amsterdam,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",124,4.5,250
Wok to Walk,Amsterdam,"['Fast Food', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",125,4.5,1998
Yamazato Restaurant,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",126,4.5,1006
De Nachtwacht,Amsterdam,"['Steakhouse', 'Dutch', 'Bar', 'Barbecue', 'European', 'Gluten Free Options']",127,4.5,968
Arles,Amsterdam,"['French', 'Vegetarian Friendly', 'Vegan Options']",128,5,87
La Oliva,Amsterdam,"['Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",129,4.5,642
"Cafe de Dam, Louis Bar",Amsterdam,['Pub'],130,4.5,272
The Good Companion,Amsterdam,"['Bar', 'Seafood', 'European', 'British', 'Gastropub', 'Pub', 'Vegetarian Friendly']",131,5,80
Thaise Snackbar Bird,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options']",132,4.5,436
Kinnaree Thai Cuisine,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",133,4.5,512
Blue Amsterdam,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",134,4.5,508
Wilde Zwijnen,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",135,4.5,366
Wink,Amsterdam,"['Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",136,5,199
Mothers,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",137,4.5,1987
Pllek,Amsterdam,"['Dutch', 'Bar', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",138,4,714
Casa Nostra,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",139,4.5,448
Pasta Pasta,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options']",140,4.5,1003
Hasta La Pasta,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options']",141,4.5,385
Bistrot des Alpes,Amsterdam,"['French', 'Swiss', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",142,5,136
Cafe Loetje,Amsterdam,"['Steakhouse', 'Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",143,4.5,1447
Bridges,Amsterdam,"['French', 'Dutch', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",144,4.5,961
Humphrey's,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",145,4.5,1410
La Casa De Michael,Amsterdam,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",146,4.5,230
Restaurant Floreyn,Amsterdam,"['Dutch', 'European', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",147,5,81
Restaurant Haesje Claes,Amsterdam,"['Dutch', 'International', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",148,4,3595
De Blauwe Hollander,Amsterdam,"['German', 'Scandinavian', 'Dutch']",149,4.5,1030
CT coffee & coconuts,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",150,4.5,603
La Luna Steakhouse Grill,Amsterdam,"['Steakhouse', 'Argentinean', 'South American', 'Grill', 'Gluten Free Options']",151,4.5,906
de Luwte,Amsterdam,"['Dutch', 'Mediterranean', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",152,4.5,635
Het Karbeel,Amsterdam,"['Dutch', 'Swiss', 'European', 'Central European', 'Vegetarian Friendly']",153,4,809
Restaurant Bleu,Amsterdam,"['French', 'International', 'Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",154,4.5,233
Lucius Seafood Restaurant,Amsterdam,"['Dutch', 'Seafood', 'European', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",155,4,1239
Villa Maria Restaurant-Amsterdam,Amsterdam,"['Steakhouse', 'Latin', 'Barbecue', 'European', 'Argentinean', 'South American', 'Vegetarian Friendly']",156,4.5,482
Restaurant Choux,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",157,4.5,221
The White Room,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options']",158,4.5,103
Kaagman en Kortekaas,Amsterdam,"['Dutch', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",159,4.5,147
Bird Thai Restaurant,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",160,4,1641
Pressroom,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",161,4.5,175
Cafe Sonneveld,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",162,4,544
Cafe T Smalle,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",163,4.5,435
Sir Hummus,Amsterdam,"['Healthy', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",164,5,126
Restaurant d'Vijff Vlieghen,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",165,4,1340
Rakang,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",166,4.5,414
FEBO,Amsterdam,"['Dutch', 'Fast Food', 'European']",167,4,782
Gollem Craft Beers,Amsterdam,"['Bar', 'Pub']",168,4.5,136
Soup en Zo,Amsterdam,"['European', 'Soups', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",169,4.5,226
Greetje,Amsterdam,"['Dutch', 'European', 'Delicatessen', 'Vegetarian Friendly', 'Gluten Free Options']",170,4.5,843
Ctaste,Amsterdam,"['European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",171,4,540
Blauw aan de Wal,Amsterdam,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",172,4.5,344
The French Connection,Amsterdam,"['French', 'Asian', 'European', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",173,4.5,376
Restaurant Blauw Amsterdam,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",174,4.5,1044
Vlaamse Friet Snackland,Amsterdam,"['Dutch', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options']",175,4.5,328
Barney's Coffeeshop,Amsterdam,,176,4.5,498
De Pizzabakkers Haarlemmerdijk,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options']",177,4.5,231
The Avocado Show,Amsterdam,"['European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",178,4,284
Pancake en Burger Bar,Amsterdam,"['Dutch', 'European', 'Grill', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",179,4.5,155
Brouwerij de Prael,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",180,4.5,354
The Lebanese Sajeria,Amsterdam,"['Lebanese', 'Middle Eastern', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options']",181,5,72
VINNIES at Haarlemmerstraat (city center),Amsterdam,"['Cafe', 'International', 'European', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",182,4.5,260
Cau,Amsterdam,"['Steakhouse', 'European', 'Argentinean', 'South American', 'Gluten Free Options']",183,4,2647
Utrechtsedwarstafel,Amsterdam,"['French', 'Dutch', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",184,5,220
Momo,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",185,4,1359
Cafe-Restaurant de Plantage,Amsterdam,"['French', 'Dutch', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",186,4,724
Gauchos - Spuistraat,Amsterdam,"['Steakhouse', 'European', 'Argentinean', 'Gluten Free Options']",187,4,442
De Bekeerde Suster,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",188,4.5,400
IZAKAYA Asian Kitchen & Bar,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",189,4,583
Restaurant MOER,Amsterdam,"['European', 'Dutch', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",190,4.5,87
Pasta Factory,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",191,4.5,591
Indonesian Kitchen,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",192,4.5,126
Ramen-Ya Amsterdam,Amsterdam,"['Japanese', 'Asian', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",193,4,614
Long Pura,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options']",194,4,611
Cocotte,Amsterdam,"['French', 'Cafe', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",195,4.5,88
Yu Family Kitchen,Amsterdam,"['Chinese', 'Fast Food', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",196,4.5,305
Bierfabriek Amsterdam,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Grill', 'Vegetarian Friendly']",197,4,847
The Old Bell,Amsterdam,"['Bar', 'European', 'British', 'Pub', 'Gastropub', 'Vegetarian Friendly']",198,4,377
Tasca Bellota,Amsterdam,"['Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Gluten Free Options']",199,4.5,365
Sham Restaurant,Amsterdam,"['Mediterranean', 'Middle Eastern', 'Arabic', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",200,4.5,111
Pompa,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options']",201,4,814
